C.C..non.aromatic.,C.C.C.O.in.non.aromatic.ring,MW,NumHBondDonors,NumOfAtoms,NumOfC,NumOfConf,NumOfConfUsed,NumOfN,NumOfO,aldehyde,aromatic.hydroxyl,carbonylperoxyacid,carbonylperoxynitrate,carboxylic.acid,category_None,category_apin,category_apin_decane,category_apin_decane_toluene,category_apin_toluene,category_decane,category_decane_toluene,category_toluene,ester,ether..alicyclic.,hydroperoxide,hydroxyl..alkyl.,ketone,nitrate,nitro,nitroester,peroxide
0,0,30.010564684,0,4,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,74.995642892,0,6,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,102.990557512,0,8,2,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,118.985472132,1,9,2,3,1,1,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,134.980386752,1,10,2,3,3,1,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
0,0,146.980386752,1,11,3,3,2,1,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0,0,162.975301372,1,12,3,6,5,1,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
0,0,232.980780676,2,19,6,97,22,1,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,0,0
0,0,231.00151612,1,21,7,50,16,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,0,0
0,0,246.99643074,1,22,7,54,27,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1,1,0
0,0,232.980780676,2,19,6,118,30,1,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,0,0
0,0,234.99643074,3,21,6,258,32,1,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,0,0
0,0,250.99134536,3,22,6,465,37,1,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,0
0,0,176.990951436,1,15,4,21,17,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0
0,0,219.00151612,1,20,6,63,39,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,1,0,0
0,0,250.99134536,3,22,6,442,40,1,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,0
0,0,307.976423568,1,25,7,86,40,2,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,1,0,1
0,0,278.98625998,2,24,7,189,40,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0,1,0,1
1,0,216.985866056,1,18,6,7,4,1,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0
0,0,216.985866056,0,18,6,7,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,1,0
0,0,248.975695296,1,20,6,36,21,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,1,1,0
0,0,220.980780676,1,18,5,25,21,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0
0,0,295.976423568,1,24,6,228,40,2,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0
0,0,234.99643074,1,21,6,55,38,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0
0,0,250.99134536,2,22,6,134,40,1,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0
0,0,266.98625998,2,23,6,70,13,1,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0
0,0,311.971338188,1,25,6,85,40,2,13,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0
0,0,220.980780676,1,18,5,51,36,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0
0,0,252.970609916,2,20,5,62,16,1,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0
0,0,297.955688124,1,22,5,61,40,2,13,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0
0,0,295.976423568,1,24,6,215,40,2,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,1,1,0
0,0,266.98625998,2,23,6,352,40,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,1,1,0
0,0,262.99134536,1,23,7,90,40,1,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1
0,0,278.98625998,1,24,7,67,27,1,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1
0,0,232.980780676,0,19,6,28,28,1,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1
0,0,262.99134536,1,23,7,127,21,1,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,0,1
0,0,220.980780676,1,18,5,79,40,1,9,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
0,0,248.975695296,1,20,6,66,28,1,10,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1
0,0,232.980780676,0,19,6,27,27,1,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,1
0,0,307.976423568,0,25,7,93,40,2,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,1
0,0,234.99643074,1,21,6,161,40,1,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1
0,0,175.01168688,1,17,5,29,22,1,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0
0,0,278.98625998,1,24,7,208,28,1,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,1
0,0,191.0066015,1,18,5,61,40,1,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
0,0,250.99134536,1,22,6,156,40,1,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,1
