C.C..non.aromatic.,C.C.C.O.in.non.aromatic.ring,MW,NumHBondDonors,NumOfAtoms,NumOfC,NumOfConf,NumOfConfUsed,NumOfN,NumOfO,aldehyde,aromatic.hydroxyl,carbonylperoxyacid,carbonylperoxynitrate,carboxylic.acid,category_None,category_apin,category_apin_decane,category_apin_decane_toluene,category_apin_toluene,category_decane,category_decane_toluene,category_toluene,ester,ether..alicyclic.,hydroperoxide,hydroxyl..alkyl.,ketone,nitrate,nitro,nitroester,pSat_Pa,peroxide
0,0,30.010564684,0,4,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.807517771623312,0
0,0,74.995642892,0,6,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4.012656385629028,0
0,0,102.990557512,0,8,2,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4.130898787864513,0
0,0,118.985472132,1,9,2,3,1,1,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2.3831508538961748,0
0,0,134.980386752,1,10,2,3,3,1,6,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2.4988024754994127,0
0,0,146.980386752,1,11,3,3,2,1,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2.0280219376959487,0
0,0,162.975301372,1,12,3,6,5,1,7,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1.8294903185385223,0
0,0,232.980780676,2,19,6,97,22,1,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,0,-1.481892070403472,0
0,0,231.00151612,1,21,7,50,16,1,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,0,-1.9484779324756807,0
0,0,246.99643074,1,22,7,54,27,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1,1,0.14798532068380513,0
0,0,232.980780676,2,19,6,118,30,1,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,0,-1.1053147334849258,0
0,0,234.99643074,3,21,6,258,32,1,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,2,0,1,0,-4.226845046717582,0
0,0,250.99134536,3,22,6,465,37,1,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,-5.148184496429823,0
0,0,176.990951436,1,15,4,21,17,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,1.4659476617649383,0
0,0,219.00151612,1,20,6,63,39,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,1,0,-0.10678205983610159,0
0,0,250.99134536,3,22,6,442,40,1,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,-3.8339459490099945,0
0,0,307.976423568,1,25,7,86,40,2,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,1,1,0,-1.047182759303713,1
0,0,278.98625998,2,24,7,189,40,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,0,1,0,-2.27246206118915,1
1,0,216.985866056,1,18,6,7,4,1,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,-1.1010787156725887,0
0,0,216.985866056,0,18,6,7,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,1,1,1.7260177439222522,0
0,0,248.975695296,1,20,6,36,21,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,1,1,1.0567143295163943,0
0,0,220.980780676,1,18,5,25,21,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0.4504030861553663,0
0,0,295.976423568,1,24,6,228,40,2,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,-0.8294035139311832,0
0,0,234.99643074,1,21,6,55,38,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0.03622954408629452,0
0,0,250.99134536,2,22,6,134,40,1,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,-1.6421930982364612,0
0,0,266.98625998,2,23,6,70,13,1,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,-0.6711171737217201,0
0,0,311.971338188,1,25,6,85,40,2,13,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0.3356584522893015,0
0,0,220.980780676,1,18,5,51,36,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0.21218760440395779,0
0,0,252.970609916,2,20,5,62,16,1,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,-1.8655116225066715,0
0,0,297.955688124,1,22,5,61,40,2,13,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0.6729286904427225,0
0,0,295.976423568,1,24,6,215,40,2,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,1,1,-1.2199525838159793,0
0,0,266.98625998,2,23,6,352,40,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,1,1,-1.935373286450723,0
0,0,262.99134536,1,23,7,90,40,1,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,-3.388804052293188,1
0,0,278.98625998,1,24,7,67,27,1,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,-2.187707701378365,1
0,0,232.980780676,0,19,6,28,28,1,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,-0.5334360709860028,1
0,0,262.99134536,1,23,7,127,21,1,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,1,0,-1.7659144415445596,1
0,0,220.980780676,1,18,5,79,40,1,9,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,-2.45506375363328,1
0,0,248.975695296,1,20,6,66,28,1,10,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,-2.621084035003836,1
0,0,232.980780676,0,19,6,27,27,1,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,-0.9313941967027645,1
0,0,307.976423568,0,25,7,93,40,2,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,0,-2.058599643686899,1
0,0,234.99643074,1,21,6,161,40,1,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,-1.5573628394680887,1
0,0,175.01168688,1,17,5,29,22,1,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,-1.3164073892142722,0
0,0,278.98625998,1,24,7,208,28,1,11,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,-3.144649352992568,1
0,0,191.0066015,1,18,5,61,40,1,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,-1.8255684551316698,0
0,0,250.99134536,1,22,6,156,40,1,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,-1.7089539818357828,1
0,0,234.99643074,1,21,6,101,40,1,9,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,-2.52357657119605,1
0,0,262.99134536,1,23,7,121,40,1,10,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,-3.0438590645025347,1
0,0,250.99134536,1,22,6,69,35,1,10,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,-2.364506226325924,1
0,0,295.976423568,0,24,6,26,26,2,12,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0.36040405472993886,1
0,0,219.00151612,0,20,6,22,22,1,8,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,-0.13723589776295222,1
0,0,246.99643074,0,22,7,18,18,1,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,-1.0369719420633314,1
0,0,175.01168688,1,17,5,18,9,1,6,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,-0.48253881332334714,0
0,0,291.981508948,0,24,7,29,29,2,11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1.3406621988556087,0
0,0,262.99134536,2,23,7,109,36,1,10,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,-4.316057772397925,1
0,0,295.976423568,2,24,6,62,21,2,12,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,0,-3.2768523642832235,1
0,0,204.985866056,2,17,5,39,5,1,8,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0.12123145514962144,0
0,0,222.99643074,3,20,5,253,20,1,9,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,-3.347538010373716,0
0,0,220.980780676,2,18,5,29,5,1,9,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0.7537362221750101,0
0,0,220.980780676,1,18,5,68,28,1,9,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0.3904051564800809,1
0,0,248.975695296,1,20,6,71,22,1,10,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,-0.3166529544040426,1
0,0,267.981508948,2,22,5,90,21,2,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,-0.6011567960611592,0
0,0,238.99134536,3,21,5,205,19,1,10,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,-3.5707029376579613,0
0,0,175.01168688,1,17,5,15,11,1,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,2.561921473158793,0
0,0,191.0066015,2,18,5,28,6,1,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,-1.0799486112564294,0
0,0,207.00151612,2,19,5,22,6,1,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1.3678775066378805,0
0,0,234.99643074,1,21,6,52,30,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,0.840231594958109,1
0,0,232.980780676,1,19,6,16,9,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,-0.2431367079289594,1
0,0,234.99643074,2,21,6,60,32,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,1,0,-1.9073456657091579,1
0,0,281.001910044,3,26,7,315,22,1,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,0,-5.024016242043436,1
0,0,293.997159012,2,26,7,175,3,2,11,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,1,0,-4.567083664229506,0
0,0,265.006995424,3,25,7,294,6,1,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,1,0,-4.105090974169778,0
0,0,160.996036816,1,14,4,10,7,1,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,2.4356373581427038,0
0,0,192.985866056,2,16,4,24,8,1,8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,-0.951678588067119,0
0,0,220.980780676,2,18,5,53,15,1,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0,-0.26161375935698217,0
0,0,267.981508948,1,22,5,142,39,2,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,-1.1212458444414564,0
0,0,148.996036816,1,13,3,8,7,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1.734239604435455,0
0,0,222.99643074,2,20,5,274,40,1,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,-2.425305270216634,0
0,0,250.99134536,2,22,6,316,40,1,10,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,-2.687943047864786,0
0,0,267.981508948,1,22,5,160,40,2,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,-1.2670713998137875,0
0,0,295.976423568,1,24,6,205,40,2,12,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,-1.6798308693532604,0
0,0,222.99643074,2,20,5,224,40,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,1,0,-1.6176676245672401,0
0,0,238.99134536,2,21,5,319,40,1,10,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,1,0,-1.9643640109128544,0
0,0,266.98625998,2,23,6,342,40,1,11,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,1,0,-2.494871226625843,0
0,0,191.0066015,1,18,5,34,20,1,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.49872397074790464,0
0,0,222.99643074,2,20,5,57,13,1,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,-1.7110521538343346,0
0,0,267.981508948,1,22,5,57,34,2,11,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.8610562445768735,0
0,0,297.992073632,2,26,6,262,40,2,12,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,-1.4539588449876903,0
0,0,249.012080804,2,24,7,248,40,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,-1.6482178233588294,0
0,0,207.00151612,1,19,5,51,37,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-0.48510218109723247,0
0,0,266.98625998,2,23,6,116,40,1,11,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-3.151415566705278,0
0,0,311.971338188,1,25,6,81,40,2,13,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,-0.48993050356614015,0
0,0,222.99643074,1,20,5,98,40,1,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,-0.11857571124349588,1
0,0,250.99134536,1,22,6,101,29,1,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,1,0,-0.9612438969442888,1
0,0,250.99134536,2,22,6,138,40,1,10,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,-2.353383281533089,1
0,0,176.990951436,1,15,4,26,18,1,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0.8942052591420838,0
0,0,192.985866056,2,16,4,70,20,1,8,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,-1.0473661852317675,0
0,0,208.980780676,2,17,4,69,32,1,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,-0.9417629461380269,0
0,0,265.006995424,3,25,7,335,17,1,10,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,-3.3212898398992805,0
0,0,281.001910044,3,26,7,312,13,1,11,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,-3.1029486066087353,0
0,0,325.986988252,2,28,7,334,40,2,13,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,-1.1129048981891199,0
